지 역,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01
서울 송파구,696151,695595,695325,697587,720216,723207,719293,714276,713000,717603,727457,728086,730009,722548,724429,727929,728643,727667,727381,727810,728540,731571,735190,734659,734103,735460,737246,740667,745929,749357,753151,780437,783905,786341,791175,793817,797198,796921,796762,796706,797167,798460,801286,802984,804294,806766,812469,817086,816219,815391,816141,818367,820930,824211,837969,840719,848953,850578,861969,869672,984764,1032208,1056965,1068264,1067938,1063993,1056972,1052486,1062549,1077813,1083326,1070514,1063479,1113576,1107382,1100618,1098257,1098146,1099660,1102847,1104521,1106472,1118417,1130090,1166361,1256877,1251701,1245727,1235416,1234545,1240305,1260838,1265377,1266416
서울 강동구,453265,450912,450186,450843,451088,453422,452098,449373,447529,447892,450873,450725,450039,450088,450745,452118,452029,450853,450814,451392,454412,459618,464461,465275,462382,463137,466235,471363,479637,485431,490667,492441,496098,499186,503137,506451,505853,503922,488490,487667,489755,491882,473118,475118,478814,483549,491647,494422,493765,492637,494402,494775,495314,499784,511471,512069,515510,514353,516529,518314,561013,572700,594793,602720,604327,603973,605960,607187,611693,635327,640220,640713,639167,735167,728643,721690,713683,706183,703675,702968,703944,705429,711976,719000,740921,787716,787881,788179,787343,785164,784776,796149,798575,800418
경기 경부1권,369608,365696,363120,361794,362433,363142,363700,362518,361355,361577,362912,363364,364400,364705,366296,368581,368890,368917,368671,368846,369612,371815,373543,374692,375542,374668,376036,378042,381454,383591,385645,404899,406450,407949,410105,411364,412020,412106,412067,411955,412043,412335,413100,413700,414865,421093,420985,421449,421611,421588,421649,421900,422397,422864,423820,425691,430244,433093,435084,437082,481268,486002,495536,501109,504683,506360,507203,507759,509092,517686,521553,522139,521254,578729,575863,573063,568727,565529,563985,563960,565504,568537,573243,578536,587379,623460,627362,635544,640710,643165,645239,651671,657948,663007
경기 과천시,588696,585217,582500,582696,594587,597109,595565,593457,590500,590609,595435,596522,601239,604609,608739,617217,619652,619304,618457,618457,620087,624022,626587,626500,626500,622583,623229,623417,627146,629813,632917,659229,662979,669479,672250,666875,667000,667000,667000,667000,667958,671583,677271,681875,682250,776706,778294,778941,778971,779029,779088,779529,779235,779941,783382,784559,789706,789176,789000,789235,850625,862396,894063,900729,905729,906979,906146,906146,910000,948438,961563,963021,961771,1138229,1135292,1123646,1106417,1097583,1103500,1119833,1141229,1152688,1173167,1202104,1244646,1277104,1274688,1273625,1271167,1259229,1252208,1260208,1270396,1276354
경기 안양시,300931,298873,297129,295981,295423,294529,293952,293753,293545,293724,295154,296482,297573,298472,299939,301527,302299,303186,303348,303722,303964,306412,307534,308868,309745,310514,312068,315013,320534,324113,326944,338402,339856,340573,343136,344455,344820,344550,344301,344088,344378,344768,345987,346512,348548,348199,348835,349153,349284,349220,349193,349244,349499,349677,350254,350742,352822,354569,356471,358654,404524,406095,408300,410471,412405,413273,414061,414912,416579,421326,425996,426875,427031,477815,476241,477759,473538,470727,469183,465987,466460,468872,471715,475256,483244,501499,509480,521684,529028,533489,537566,541945,545383,549345
경기 만안구,266539,266217,265901,263184,262382,261263,261092,261487,261224,260842,262158,262579,262539,264092,265368,266000,266553,266855,266658,266539,266776,268118,269250,270066,271842,272355,273908,276132,279289,281737,283553,289842,291697,292974,294132,294829,295237,294934,294697,294855,295684,296355,297434,297934,298224,299039,299750,300105,300132,300066,300079,300066,300263,300303,300697,300934,303105,304421,305776,307434,353636,354909,356273,357284,358307,358489,358920,359034,359909,362864,365205,366045,366114,409660,408287,407106,403926,402489,400649,394383,395298,396787,400149,404883,410309,437979,446260,455604,462646,467646,471521,474844,478177,481406
경기 동안구,316727,313873,311473,311045,310600,309809,309045,308573,308391,308827,310309,312055,313664,314264,315818,317845,318718,319873,320200,320800,321045,324000,325118,326691,327155,327791,329345,332618,339209,343300,346591,360409,361682,362145,365345,366945,367291,367036,366782,366400,366445,366709,367991,368527,371355,371809,372409,372709,372891,372827,372782,372864,373145,373391,374055,374664,376700,378655,380818,383255,429056,430770,433381,436111,438484,439683,440643,441849,443897,449508,455302,456198,456397,512715,511038,513938,509185,505669,504277,502654,502900,505785,508362,511292,520592,534326,542152,555833,563333,567515,571697,576621,580114,584455
경기 성남시,464920,459598,455422,453813,454702,457048,458735,457144,455151,454790,454859,454067,454939,453157,454323,457006,457341,457000,456860,456742,457735,459706,462442,463713,464793,462677,463683,464988,466993,468140,469582,500707,501853,503381,505280,506959,507861,508293,508452,508459,508469,508396,508677,509079,509974,512525,511406,512042,512247,512176,512332,512892,513763,514647,516253,520298,529372,534808,537886,540555,600533,609982,629659,641302,648257,651671,653040,653654,655512,668900,672415,672418,670161,756756,751400,745578,741251,738394,737191,739670,741980,745558,752531,760277,769743,835824,836599,836927,836267,836216,836785,846778,857494,864928
경기 수정구,297781,296686,296210,295448,295852,295357,294929,294214,293738,293929,294738,294452,294310,292810,292500,293357,292524,292548,292619,292286,293048,293738,294024,294357,294881,294905,295262,296071,297286,299048,301857,317452,318095,318905,319595,320095,320762,321214,321429,321452,321381,321643,322048,322881,326714,360870,345174,345652,345565,345522,345804,346022,347000,348065,350283,352652,354913,355761,356761,358087,473871,474000,480903,490435,494016,497645,499532,500048,500548,508903,513177,513210,510210,672049,665037,655598,650720,650683,650073,653012,657049,661049,669683,681012,697098,868940,872690,876167,879821,884798,888488,899095,909167,917083
경기 중원구,251687,250020,248131,248298,250669,251685,251278,250722,248981,248241,249944,250130,250278,250944,251093,252056,252241,252037,252056,252019,252204,252500,252907,253333,254093,254315,256889,257759,259426,260370,261926,287613,288661,290097,291048,291887,292629,292952,293081,293113,293065,293113,293339,293500,293726,293952,294226,294694,295081,294952,295016,295339,295726,296113,296694,297532,298468,298952,299887,301516,332457,333186,334871,336986,339243,340357,341257,342271,343886,347943,350286,350743,351900,401426,400824,399662,399250,399103,398985,399162,399559,400559,402750,404471,406279,418147,419985,423015,425574,426574,428824,434588,441515,447926
