Date,Open,High,Low,Close,Adj Close,Volume
2017-08-02,158400,160000,158200,159000,157762.2656,418455
2017-08-03,158800,159600,155000,155600,154388.7344,674650
2017-08-04,155800,157000,155200,155200,153991.8594,336765
2017-08-07,155400,160600,153600,159200,157960.7188,744615
2017-08-08,160200,163200,160000,162000,160738.9219,520245
2017-08-09,159600,161400,159400,159600,158357.6094,259865
2017-08-10,158800,160400,158200,158800,157563.8438,367510
2017-08-11,156200,159600,156000,159000,157762.2656,269710
2017-08-14,161400,161400,155200,155800,154587.1875,396985
2017-08-16,156000,158000,155800,157400,156174.7188,349085
2017-08-17,156200,157200,155200,155400,154190.2969,367040
2017-08-18,154600,157000,154600,156800,155579.3906,263105
2017-08-21,156800,157000,155000,156200,154984.0469,202420
2017-08-22,156200,156200,152600,153400,152205.8906,1149490
2017-08-23,154400,156200,154000,154600,153396.5469,485075
2017-08-24,154000,154800,153200,154200,152999.6406,584980
2017-08-25,154200,157400,154200,156000,154785.6406,413035
2017-08-28,156200,158600,155800,156600,155380.9531,545185
2017-08-29,155800,156000,153400,155600,154388.7344,528455
2017-08-30,155600,156600,154200,154800,153594.9688,564995
2017-08-31,153800,154000,150200,151000,149824.5469,991250
2017-09-01,151400,152200,149000,149200,148038.5625,732700
2017-09-04,144800,146800,144800,145200,144069.7031,702385
2017-09-05,145600,148400,145400,147200,146054.125,487885
2017-09-06,145800,147800,145000,147400,146252.5781,401195
2017-09-07,147200,147400,146000,146000,144863.4844,340875
2017-09-08,145000,146600,144800,145400,144268.1406,354400
2017-09-11,145400,145400,143400,144000,142879.0313,377585
2017-09-12,144600,148400,143600,147000,145855.6875,415155
2017-09-13,146600,147000,145000,145800,144665.0156,371380
2017-09-14,146000,153800,145800,153000,151808.9844,1132945
2017-09-15,152800,152800,150400,152000,150816.7656,496310
2017-09-18,152400,157200,152200,156200,154984.0469,614480
2017-09-19,155000,155400,152800,154000,152801.2031,369870
2017-09-20,154800,157400,153400,156600,155380.9531,431835
2017-09-21,155400,156200,152000,152600,151412.0938,338785
2017-09-25,152000,152600,149800,150800,149626.0938,369320
2017-09-26,150800,150800,150800,150800,149626.0938,0
2017-09-27,150000,150400,146800,146800,145657.2344,460270
2017-09-28,146000,149000,146000,146600,145458.8125,543805
2017-09-29,146600,149800,146600,149000,147840.1406,263995
2017-10-10,149400,154000,148800,151200,150022.9844,822795
2017-10-11,150200,151000,149200,150200,149030.7813,296145
